package_name,ecosystem,package_version,risk_score,findings_count,verdict
vercel/next.js/authoring-skills,skills,,67395.0,4686,CRITICAL_RISK
vercel/next.js/flags,skills,,67395.0,4686,CRITICAL_RISK
vercel/next.js/react-vendoring,skills,,67395.0,4686,CRITICAL_RISK
vercel/next.js/runtime-debug,skills,,67395.0,4686,CRITICAL_RISK
vercel/next.js/update-docs,skills,,67395.0,4686,CRITICAL_RISK
steipete/clawdis/camsnap,skills,,41003.0,4117,CRITICAL_RISK
steipete/clawdis/gog,skills,,41003.0,4117,CRITICAL_RISK
steipete/clawdis/slack,skills,,41003.0,4117,CRITICAL_RISK
steipete/clawdis/tmux,skills,,41003.0,4117,CRITICAL_RISK
langgenius/dify/component-refactoring,skills,,35095.5,3706,CRITICAL_RISK
langgenius/dify/frontend-code-review,skills,,35095.5,3706,CRITICAL_RISK
langgenius/dify/frontend-testing,skills,,35095.5,3706,CRITICAL_RISK
langgenius/dify/vercel-react-best-practices,skills,,35095.5,3706,CRITICAL_RISK
rysweet/amplihack/azure-devops,skills,,31377.0,2159,CRITICAL_RISK
davila7/claude-code-templates/azure-functions,skills,,27154.0,2643,CRITICAL_RISK
davila7/claude-code-templates/browser-automation,skills,,27154.0,2643,CRITICAL_RISK
davila7/claude-code-templates/browser-extension-builder,skills,,27154.0,2643,CRITICAL_RISK
davila7/claude-code-templates/crewai-multi-agent,skills,,27154.0,2643,CRITICAL_RISK
davila7/claude-code-templates/deslop,skills,,27154.0,2643,CRITICAL_RISK
davila7/claude-code-templates/executing-marketing-campaigns,skills,,27154.0,2643,CRITICAL_RISK
davila7/claude-code-templates/frontend-design,skills,,27154.0,2643,CRITICAL_RISK
davila7/claude-code-templates/frontend-dev-guidelines,skills,,27154.0,2643,CRITICAL_RISK
davila7/claude-code-templates/frontend-patterns,skills,,27154.0,2643,CRITICAL_RISK
davila7/claude-code-templates/marketing-demand-acquisition,skills,,27154.0,2643,CRITICAL_RISK
davila7/claude-code-templates/marketing-ideas,skills,,27154.0,2643,CRITICAL_RISK
davila7/claude-code-templates/marketing-psychology,skills,,27154.0,2643,CRITICAL_RISK
